HOSTNAMES STATE GRES CPUS(A/I/O/T) MEMORY
ng20602 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 45/3/0/48 510000
ng20603 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 10/38/0/48 510000
ng20604 alloc gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 48/0/0/48 510000
ng30101 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 36/12/0/48 510000
ng30102 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 9/39/0/48 510000
ng30103 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 9/39/0/48 510000
ng30104 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 9/39/0/48 510000
ng30201 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 9/39/0/48 510000
ng30202 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 28/20/0/48 510000
ng30203 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 9/39/0/48 510000
ng30204 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 9/39/0/48 510000
ng30301 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng30302 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
